Column1,Column2,Column3,Column4
1,1000,0,0
2,999,1,0
3,999,1,0
4,998,2,0
5,996,4,0
6,996,4,0
7,996,4,0
8,994,6,0
9,992,8,0
10,987,12,1
11,986,13,1
12,986,12,2
13,986,12,2
14,985,13,2
15,984,14,2
16,983,15,2
17,982,16,2
18,980,16,4
19,980,15,5
20,978,17,5
21,974,21,5
22,972,22,6
23,969,25,6
24,966,28,6
25,961,33,6
26,961,33,6
27,957,37,6
28,955,39,6
29,953,41,6
30,951,43,6
31,951,43,6
32,946,48,6
33,942,51,7
34,940,53,7
35,938,53,9
36,935,56,9
37,930,60,10
38,927,63,10
39,920,69,11
40,919,69,12
41,916,71,13
42,913,73,14
43,912,74,14
44,909,77,14
45,904,82,14
46,898,87,15
47,892,92,16
48,886,98,16
49,880,102,18
50,875,106,19
51,870,109,21
52,864,115,21
53,856,122,22
54,851,126,23
55,846,130,24
56,838,135,27
57,830,142,28
58,819,151,30
59,809,160,31
60,802,166,32
61,797,169,34
62,792,172,36
63,783,179,38
64,779,182,39
65,771,186,43
66,766,190,44
67,757,197,46
68,751,202,47
69,746,205,49
70,737,210,53
71,733,211,56
72,727,215,58
73,717,223,60
74,708,232,60
75,701,235,64
76,692,242,66
77,681,251,68
78,672,258,70
79,658,268,74
80,645,278,77
81,637,283,80
82,623,295,82
83,614,301,85
84,602,311,87
85,592,318,90
86,579,321,100
87,563,335,102
88,551,347,102
89,544,351,105
90,531,360,109
91,518,370,112
92,507,377,116
93,500,380,120
94,486,390,124
95,476,397,127
96,461,410,129
97,452,414,134
98,445,417,138
99,433,425,142
100,421,433,146
101,417,433,150
102,409,441,150
103,398,449,153
104,392,446,162
105,381,453,166
106,371,459,170
107,363,463,174
108,354,468,178
109,344,473,183
110,335,478,187
111,327,482,191
112,316,492,192
113,308,495,197
114,303,493,204
115,294,494,212
116,285,494,221
117,280,495,225
118,269,500,231
119,260,504,236
120,244,516,240
121,238,516,246
122,229,520,251
123,221,520,259
124,215,520,265
125,211,514,275
126,205,512,283
127,192,518,290
128,187,518,295
129,181,517,302
130,173,523,304
131,166,528,306
132,162,524,314
133,158,525,317
134,151,526,323
135,144,528,328
136,138,527,335
137,131,525,344
138,124,527,349
139,118,528,354
140,110,533,357
141,102,535,363
142,93,541,366
143,85,540,375
144,75,544,381
145,69,545,386
146,60,550,390
147,50,555,395
148,47,554,399
149,44,552,404
150,41,552,407
151,36,551,413
152,34,547,419
153,31,547,422
154,26,544,430
155,24,541,435
156,19,537,444
157,17,529,454
158,16,521,463
159,14,517,469
160,13,509,478
161,13,503,484
162,10,503,487
163,6,500,494
164,5,496,499
165,4,495,501
166,4,488,508
167,3,485,512
168,2,483,515
169,1,479,520
170,1,469,530
171,1,465,534
172,0,461,539
173,0,459,541
174,0,456,544
175,0,452,548
176,0,447,553
177,0,443,557
178,0,439,561
179,0,431,569
180,0,428,572
181,0,423,577
182,0,414,586
183,0,409,591
184,0,404,596
185,0,402,598
186,0,399,601
187,0,397,603
188,0,394,606
189,0,390,610
190,0,387,613
191,0,381,619
192,0,379,621
193,0,370,630
194,0,366,634
195,0,365,635
196,0,363,637
197,0,360,640
198,0,357,643
199,0,356,644
200,0,350,650
201,0,341,659
202,0,338,662
203,0,336,664
204,0,335,665
205,0,326,674
206,0,323,677
207,0,319,681
208,0,318,682
209,0,314,686
210,0,312,688
211,0,310,690
212,0,308,692
213,0,307,693
214,0,307,693
215,0,304,696
216,0,300,700
217,0,294,706
218,0,293,707
219,0,290,710
220,0,285,715
221,0,282,718
222,0,281,719
223,0,277,723
224,0,275,725
225,0,275,725
226,0,274,726
227,0,271,729
228,0,267,733
229,0,265,735
230,0,264,736
231,0,262,738
232,0,259,741
233,0,254,746
234,0,251,749
235,0,245,755
236,0,242,758
237,0,240,760
238,0,238,762
239,0,237,763
240,0,236,764
241,0,234,766
242,0,231,769
243,0,227,773
244,0,227,773
245,0,224,776
246,0,221,779
247,0,218,782
248,0,214,786
249,0,213,787
250,0,213,787
251,0,210,790
252,0,209,791
253,0,205,795
254,0,204,796
255,0,201,799
256,0,197,803
257,0,195,805
258,0,194,806
259,0,193,807
260,0,189,811
261,0,188,812
262,0,185,815
263,0,184,816
264,0,184,816
265,0,184,816
266,0,180,820
267,0,180,820
268,0,178,822
269,0,176,824
270,0,175,825
271,0,173,827
272,0,171,829
273,0,171,829
274,0,170,830
275,0,170,830
276,0,170,830
277,0,168,832
278,0,168,832
279,0,167,833
280,0,167,833
281,0,165,835
282,0,164,836
283,0,163,837
284,0,161,839
285,0,159,841
286,0,158,842
287,0,156,844
288,0,154,846
289,0,150,850
290,0,150,850
291,0,148,852
292,0,146,854
293,0,146,854
294,0,146,854
295,0,144,856
296,0,144,856
297,0,143,857
298,0,140,860
299,0,139,861
300,0,139,861
301,0,139,861
302,0,137,863
303,0,134,866
304,0,131,869
305,0,130,870
306,0,127,873
307,0,127,873
308,0,126,874
309,0,122,878
310,0,120,880
311,0,120,880
312,0,119,881
313,0,119,881
314,0,117,883
315,0,117,883
316,0,116,884
317,0,115,885
318,0,114,886
319,0,113,887
320,0,113,887
321,0,113,887
322,0,111,889
323,0,110,890
324,0,109,891
325,0,109,891
326,0,109,891
327,0,109,891
328,0,107,893
329,0,107,893
330,0,107,893
331,0,106,894
332,0,106,894
333,0,105,895
334,0,105,895
335,0,104,896
336,0,104,896
337,0,103,897
